source,judge,advocate,ruling_title,chamber,ruling_name,ruling_type,ruling_content,case_label,ecli,lodge_date,document_date,country,main_subject
62016CO0485,Šváby,Wahl,Order of the Court (Eighth Chamber) of 31 January 2017,Eighth Chamber,Universal Protein Supplements Corp, v European Union Intellectual Property Office (EUIPO),Appeal — Rules of Procedure of the Court of Justice — Article 181 — EU trade mark — Invalidity proceedings — Figurative mark containing the word element ‘animal’,Case C-485/16 P,ECLI identifier: ECLI:EU:C:2017:72,7/9/2016,31/01/2017,,PROP
62016CO0371,Šváby,Kokott,Order of the Court (Eighth Chamber) of 8 December 2016,Eighth Chamber,L'Oréal SA v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-371/16 P,ECLI identifier: ECLI:EU:C:2016:941,4/7/2016,8/12/2016,France,PROP
62016CO0313,Šváby,Wathelet,Order of the Court (Eighth Chamber) of 19 October 2016,Eighth Chamber,Médis - Companhia portuguesa de seguros de saúde; SA v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-313/16 P,ECLI identifier: ECLI:EU:C:2016:786,27/05/2016,19/10/2016,Portugal,PROP
62015CO0603,Šváby,Campos Sánchez-Bordona,Order of the Court (Eighth Chamber) of 4 May 2016,Eighth Chamber,Monster Energy Company v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-603/15 P,ECLI identifier: ECLI:EU:C:2016:332,10/11/2015,4/5/2016,,PROP
62015CO0602,Šváby,Campos Sánchez-Bordona,Order of the Court (Eighth Chamber) of 4 May 2016,Eighth Chamber,Monster Energy Company v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-602/15 P,ECLI identifier: ECLI:EU:C:2016:331,10/11/2015,4/5/2016,,PROP
62015CO0251,Šváby,Bot,Order of the Court (Eighth Chamber) of 4 February 2016,Eighth Chamber,Emsibeth SpA v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-251/15 P,ECLI identifier: ECLI:EU:C:2016:83,26/05/2015,4/2/2016,Italy,PROP
62011CO0588,Šváby,Mengozzi,Order of the Court (Seventh Chamber) of 18 September 2012,Seventh Chamber,  Omnicare; Inc, v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),  Appeal - Community trade mark - Application for registration of the word sign ‘OMNICARE’ - Opposition - Decision of the Board of Appeal rejecting the application - Action - Judgment of the General Court dismissing that action - Withdrawal of the opposition - Appeal - No need to adjudicate,  Case C-588/11 P,ECLI identifier: ECLI:EU:C:2012:576,21/11/2011,18/09/2012,,PROP
62011CO0587(01),Šváby,Mengozzi,Order of the Court (Seventh Chamber) of 18 September 2012,Seventh Chamber,  Omnicare; Inc, v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),  Appeal - Community trade mark - Application for registration of the word sign ‘OMNICARE CLINICAL RESEARCH’ - Opposition - Decision of the Board of Appeal rejecting the application - Action - Judgment of the General Court dismissing that action - Withdrawal of the opposition - Appeal - No need to adjudicate,  Case C-587/11 P,ECLI identifier: ECLI:EU:C:2012:575,21/11/2011,18/09/2012,,PROP
62011CO0587,Šváby,Mengozzi,Order of the President of the Court of 19 July 2012,,  Omnicare; Inc, v Office for Harmonisation in the Internal Market (Trade Marks and Designs),  Application for interim measures - Appeal - Application for interim measures - Community trade mark,  Joined cases C-587/11 P-R and C-588/11 P-R,ECLI identifier: ECLI:EU:C:2012:506,23/12/2011,19/07/2012,,PROP
62016CO0497,Šváby,Szpunar,Order of the Court (Eighth Chamber) of 2 March 2017,Eighth Chamber,Criminal proceedings against Juraj Sokáč,Request for a preliminary ruling from the Nejvyšší soud,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court of Justice — Drug precursors — Regulation (EC) No 273/2004 — Article 2(a) — Definition of ‘scheduled substance’ — Exclusion of medicinal products — Directive 2001/83/EC — Article 1(2) — Definition of ‘medicinal product’ — Medicinal product containing ephedrine or pseudoephedrine — Regulation (EC) No 111/2005 — Article 2(a) — Definition of ‘scheduled substance’ — Annex — Inclusion of medicinal products containing ephedrine or pseudoephedrine — No effect on the scope of Regulation (EC) No 273/2004,Case C-497/16,ECLI identifier: ECLI:EU:C:2017:171,12/9/2016,2/3/2017,Czech Republic,RAPL
62015CO0285,Šváby,Bot,Order of the Court (Eighth Chamber) of 21 April 2016,Eighth Chamber,Beca Engineering Srl v Ministero dell'Interno,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Article 99 of the Court’s Rules of Procedure — Free movement of goods — Directive 89/106/EEC — Construction products — Chimney linings — National legislation requiring chimneys to be made exclusively with non-combustible materials,Case C-285/15,ECLI identifier: ECLI:EU:C:2016:295,11/6/2015,21/04/2016,Italy,RAPL
62012CO0468,Šváby,Kokott,Order of the Court (Tenth Chamber) of 20 June 2013,Tenth Chamber,  Camera di Commercio; Industria; Artigianato e Agricoltura (CCIAA) di Cosenza v Ciesse srI,  Reference for a preliminary ruling: Tribunale di Cosenza - Italy,  Request for a preliminary ruling - Rules of Procedure - Articles 53(2); 93(a); and 99 - Directive 200817/EC - Indirect taxes on the raising of capital - Article 5(1)(c) - Scope - Annual duty paid to local chambers of commerce; industry; crafts and agriculture,  Case C-468/12,ECLI identifier: ECLI:EU:C:2013:417,19/10/2012,20/06/2013,Italy,RAPL
62012CO0352,Šváby,Wahl,Order of the Court (Tenth Chamber) of 20 June 2013,Tenth Chamber,  Consiglio Nazionale degli Ingegneri v Comune di Castelvecchio Subequo and Comune di Barisciano,  Reference for a preliminary ruling: Tribunale amministrativo regionale per l’Abruzzo - Italy,  Article 99 of the Rules of Procedure - Public contracts - Directive 2004/18/EC - Article 1(2)(a) and (d) - Services - Support activities relating to the drawing up of a reconstruction plan for certain parts of the territory of a municipality damaged by an earthquake - Contract concluded between two public entities; one a university - Public entity likely to be classified as an economic operator - Extraordinary circumstances,  Case C-352/12,ECLI identifier: ECLI:EU:C:2013:416,25/07/2012,20/06/2013,Italy,RAPL
62011CO0564,Šváby,Wahl,Order of the Court (Tenth Chamber) of 16 May 2013,Tenth Chamber,  Consulta Regionale Ordine Ingegneri della Lombardia and Others v Comune di Pavia,  Reference for a preliminary ruling: Consiglio di Stato - Italy,  Article 99 of the Rules of Procedure - Public contracts - Directive 2004/18/EC - Article 1(2)(a) and (d) - Services - Study and technical and scientific consultancy for the purposes of drawing up the measures forming a municipal town and country planning programme - Contract concluded between two public entities; one of which is a university - Public entity capable of being classified as an economic operator,  Case C-564/11,ECLI identifier: ECLI:EU:C:2013:307,9/11/2011,16/05/2013,Italy,RAPL
62011CO0486,Šváby,Jääskinen,Order of the Court (Tenth Chamber) of 21 March 2013,Tenth Chamber,Jonathan Rodrigues Esteves v Companhia de Seguros Allianz Portugal SA,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑486/11,ECLI identifier: ECLI:EU:C:2013:188,22/09/2011,21/03/2013,Portugal,RAPL
62012CO0096,Šváby,Jääskinen,Order of the Court (Tenth Chamber) of 21 March 2013,Tenth Chamber,  Domingos Freitas and Others v Companhia de Seguros Allianz Portugal SA,  Reference for a preliminary ruling: Tribunal da Relação de Guimarães - Portugal,  Article 99 of the Rules of Procedure - Insurance against civil liability in respect of the use of motor vehicles - Directives 72/166/EEC; 84/5/EEC and 90/232/EEC - Right to compensation by means of compulsory insurance against civil liability in respect of the use of motor vehicles - Victim’s contribution to loss or injury - Exclusion or limitation of the right to compensation,  Case C-96/12,ECLI identifier: ECLI:EU:C:2013:199,22/02/2012,21/03/2013,Portugal,RAPL
62011CO0362,Šváby,Jääskinen,Order of the Court (Tenth Chamber) of 21 March 2013,Tenth Chamber,Serafim Gomes Oliveira v Lusitânia – Companhia de Seguros; SA,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑362/11,ECLI identifier: ECLI:EU:C:2013:184,8/7/2011,21/03/2013,Portugal,RAPL
62010CO0229,Šváby,Jääskinen,Order of the Court (Tenth Chamber) of 21 March 2013,Tenth Chamber,  Maria Alice Pendão Lapa Costa Ferreira and Alexandra Pendão Lapa Ferreira v Companhia de Seguros Tranquilidade SA,  Reference for a preliminary ruling: Tribunal Cível da Comarca do Porto - Portugal,  Article 99 of the Rules of Procedure - Insurance against civil liability in respect of the use of motor vehicles - Directives 72/166/EEC; 84/5/EEC and 90/232/EEC - Right to compensation by means of compulsory insurance against civil liability in respect of the use of motor vehicles - Civil liability of the insured person - Victim’s contribution to loss or injury - Exclusion or limitation of the right to compensation,  Case C-229/10,ECLI identifier: ECLI:EU:C:2013:179,10/5/2010,21/03/2013,Portugal,RAPL
62016CO0497,Šváby,Szpunar,Order of the Court (Eighth Chamber) of 2 March 2017,Eighth Chamber,Criminal proceedings against Juraj Sokáč,Request for a preliminary ruling from the Nejvyšší soud,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court of Justice — Drug precursors — Regulation (EC) No 273/2004 — Article 2(a) — Definition of ‘scheduled substance’ — Exclusion of medicinal products — Directive 2001/83/EC — Article 1(2) — Definition of ‘medicinal product’ — Medicinal product containing ephedrine or pseudoephedrine — Regulation (EC) No 111/2005 — Article 2(a) — Definition of ‘scheduled substance’ — Annex — Inclusion of medicinal products containing ephedrine or pseudoephedrine — No effect on the scope of Regulation (EC) No 273/2004,Case C-497/16,ECLI identifier: ECLI:EU:C:2017:171,12/9/2016,2/3/2017,Czech Republic,SANT
62015CO0526,Šváby,Saugmandsgaard Øe,Order of the Court (Eighth Chamber) of 27 October 2016,Eighth Chamber,Uber Belgium BVBA v Taxi Radio Bruxellois NV,Request for a preliminary ruling from the Nederlandstalige rechtbank van koophandel Brussel,Reference for a preliminary ruling — Article 53(2) of the Rules of Procedure of the Court — Inadmissibility — Transportation of persons by motor vehicles — Private drivers using a smart phone application to connect them to people wishing to travel within urban areas — Requirement to hold an operating permit,Case C-526/15,ECLI identifier: ECLI:EU:C:2016:830,5/10/2015,27/10/2016,Belgium,SERV
62011CO0564,Šváby,Wahl,Order of the Court (Tenth Chamber) of 16 May 2013,Tenth Chamber,  Consulta Regionale Ordine Ingegneri della Lombardia and Others v Comune di Pavia,  Reference for a preliminary ruling: Consiglio di Stato - Italy,  Article 99 of the Rules of Procedure - Public contracts - Directive 2004/18/EC - Article 1(2)(a) and (d) - Services - Study and technical and scientific consultancy for the purposes of drawing up the measures forming a municipal town and country planning programme - Contract concluded between two public entities; one of which is a university - Public entity capable of being classified as an economic operator,  Case C-564/11,ECLI identifier: ECLI:EU:C:2013:307,9/11/2011,16/05/2013,Italy,SERV
62010CO0229,Šváby,Jääskinen,Order of the Court (Tenth Chamber) of 21 March 2013,Tenth Chamber,  Maria Alice Pendão Lapa Costa Ferreira and Alexandra Pendão Lapa Ferreira v Companhia de Seguros Tranquilidade SA,  Reference for a preliminary ruling: Tribunal Cível da Comarca do Porto - Portugal,  Article 99 of the Rules of Procedure - Insurance against civil liability in respect of the use of motor vehicles - Directives 72/166/EEC; 84/5/EEC and 90/232/EEC - Right to compensation by means of compulsory insurance against civil liability in respect of the use of motor vehicles - Civil liability of the insured person - Victim’s contribution to loss or injury - Exclusion or limitation of the right to compensation,  Case C-229/10,ECLI identifier: ECLI:EU:C:2013:179,10/5/2010,21/03/2013,Portugal,SERV
62016CO0032,Šváby,Bobek,Order of the Court (Eighth Chamber) of 5 October 2016,Eighth Chamber,Ute Wunderlich v Bulgarian Air Charter Limited,Request for a preliminary ruling from the Amtsgericht Dresden,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court — Absence of reasonable doubt — Air transport — Regulation (EC) No 261/2004 — Article 2(l) — Definition of ‘cancellation’ — Flight making an unscheduled stopover,Case C-32/16,ECLI identifier: ECLI:EU:C:2016:753,19/01/2016,5/10/2016,Germany,TRAN
62014CO0318,Šváby,Wahl,Order of the Court (Tenth Chamber) of 21 May 2015,Tenth Chamber,Slovenská autobusová doprava Trnava a,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-318/14,ECLI identifier: ECLI:EU:C:2015:352,3/7/2014,21/05/2015,Czech Republic,TRAN
62014CO0394,Šváby,Sharpston,Order of the Court (Fifth Chamber); 14 November 2014,Fifth Chamber,Sandy Siewert and Others v Condor Flugdienst GmbH,Request for a preliminary ruling from the Amtsgericht Rüsselsheim,Reference for a preliminary ruling — Rules of Procedure — Article 99 — Air transport — Regulation (EC) No 261/2004 — Long delay to a flight — Passengers’ right to compensation — Conditions exempting an air carrier from its obligation to pay compensation — Notion of ‘extraordinary circumstances’ — Aircraft damaged by a set of mobile boarding stairs in the course of a preceding flight,Case C‑394/14,ECLI identifier: ECLI:EU:C:2014:2377,18/08/2014,14/11/2014,Germany,TRAN
62005CO0418,Ó Caoimh,Kokott,Order of the Court (Sixth Chamber) of 7 November 2006,Sixth Chamber,  Centro Provincial de Jóvenes Agricultores de Jaén (ASAJA) and Others v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-418/05 P,ECLI identifier: ECLI:EU:C:2006:698,21/11/2005,7/11/2006,Spain,AGRI
62013CO0014,Ó Caoimh,Mengozzi,Order of the Court (Eighth Chamber) of 6 June 2013,Eighth Chamber,  Gena Ivanova Cholakova v Osmo rayonno upravlenie pri Stolichna direktsia na vatreshnite raboti,  Reference for a preliminary ruling: Administrativen sad Sofia-grad - Bulgaria,  Request for a preliminary ruling - Articles 21(1) TFEU; 67 TFEU and 72 TFEU - Charter of Fundamental Rights of the European Union - National rules permitting a person to be detained in order to establish his identity - Lack of connection with European Union law - Clear lack of jurisdiction of the Court,  Case C-14/13,ECLI identifier: ECLI:EU:C:2013:374,10/1/2013,6/6/2013,Bulgaria,CIT
