source,case_label,ecli,case_type,judge,advocate,country,country-chamber,chamber,main_subject,lodge_date,document_date,year_document,month_document,year_lodge,month_lodge,case_time,n_countries,joined_cases,ruling_title,ruling_name,ruling_type,ruling_content
62016CJ0392,Case C-392/16,EU:C:2017:519,Judgement,Lycourgos,Bobek,Romania,Romania-Ninth Chamber,Ninth Chamber,4,2016-07-13,2017-07-06,2017,7,2016.0,7.0,358 days 00:00:00.000000000,1,0,Judgment of the Court (Ninth Chamber) of 6 July 2017.,Marcu Dumitru v Agenţia Naţională de Administrare Fiscală (ANAF) and Direcţia Generală Regională a Finanţelor Publice Bucureşti.,Request for a preliminary ruling from the Curtea de Apel Bucureşti.,Reference for a preliminary ruling — Value added tax (VAT) — Directive 2006/112/EC — Article 199(1)(c) — No VAT registration — Reverse charge — Hypothetical nature of the question referred — Inadmissibility of the question referred.
62015CJ0596,Joined Cases C-596/15 P and C-597/15 P,EU:C:2017:886,Judgement,Safjan,Bobek,Germany,Germany-Third Chamber,Third Chamber,2,2015-11-13,2017-11-23,2017,11,2015.0,11.0,741 days 00:00:00.000000000,1,1,Judgment of the Court (Third Chamber) of 23 November 2017.,Bionorica SE and Diapharm GmbH &amp; Co. KG v European Commission.,not_specified,Appeal — Public health — Consumer protection — Regulation (EC) No 1924/2006 — Health claims on foods — Article 13(3) — List of permitted health claims on foods — Botanical substances — Claims on hold — Action for failure to act — Article 265 TFEU — Defined position of the European Commission — Interest in bringing proceedings — Locus standi.
62015CJ0621,Case C-621/15,EU:C:2017:484,Judgement,Prechal,Bobek,France,France-Second Chamber,Second Chamber,2,2015-11-23,2017-06-21,2017,6,2015.0,11.0,576 days 00:00:00.000000000,1,0,Judgment of the Court (Second Chamber) of 21 June 2017.,N. W and Others v Sanofi Pasteur MSD SNC and Others.,Request for a preliminary ruling from the Cour de cassation (France).,Reference for a preliminary ruling — Directive 85/374/EEC — Liability for defective products — Article 4 — Pharmaceutical laboratories — Vaccination against hepatitis B — Multiple sclerosis — Proof of defect of vaccine and of causal link between the defect and the damage suffered — Burden of proof — Methods of proof — Lack of scientific consensus — Serious; specific and consistent evidence left to the discretion of the court ruling on the merits — Whether permissible — Conditions.
62016CJ0016,Case C-16/16 P,EU:C:2018:79,Judgement,Toader,Bobek,Belgium,Belgium-Grand Chamber,Grand Chamber,1,2016-01-06,2018-02-20,2018,2,2016.0,1.0,776 days 00:00:00.000000000,1,0,Judgment of the Court (Grand Chamber) of 20 February 2018.,Kingdom of Belgium v European Commission.,not_specified,Appeal — Consumer protection — Online gambling services — Protection of consumers and players and prevention of minors from gambling online — Commission Recommendation 2014/478/EU — EU act which is not legally binding — Article 263 TFEU.
62009CJ0442,Case C-442/09,EU:C:2011:541,Judgement,Bay Larsen,Bot,Germany,Germany-Grand Chamber,Grand Chamber,4,2009-11-13,2011-09-06,2011,9,2009.0,11.0,662 days 00:00:00.000000000,1,0,Judgment of the Court (Grand Chamber) of 6 September 2011.,Karl Heinz Bablok and Others v Freistaat Bayern.,Reference for a preliminary ruling: Bayerischer Verwaltungsgerichtshof - Germany.,Genetically modified food for human consumption - Regulation (EC) No 1829/2003 - Articles 2 to 4 and 12 - Directive 2001/18/EC - Article 2 - Directive 2000/13/EC - Article 6 - Regulation (EC) No 178/2002 - Article 2 - Apicultural products - Presence of pollen from genetically modified plants - Consequences - Placing on the market - Definition of ‘organism’ and ‘food for human consumption containing ingredients produced from genetically modified organisms’.
62010CJ0014,Case C-14/10,EU:C:2011:503,Judgement,Toader,Bot,United Kingdom,United Kingdom-Fourth Chamber,Fourth Chamber,4,2010-01-11,2011-07-21,2011,7,2010.0,1.0,556 days 00:00:00.000000000,1,0,Judgment of the Court (Fourth Chamber) of 21 July 2011.,Nickel Institute v Secretary of State for Work and Pensions.,Reference for a preliminary ruling: High Court of Justice (England &amp; Wales); Queen's Bench Division (Administrative Court) - United Kingdom.,Environment and protection of human health - Directive 67/548/EEC - Regulation (EC) No 1272/2008 - Classification of nickel carbonates; nickel hydroxides and a number of grouped nickel substances as dangerous substances - Validity of Directives 2008/58/EC and 2009/2/EC and of Regulation (EC) No 790/2009 - Adaptation of the classifications to technical and scientific progress - Validity - Methods of assessing the intrinsic properties of those substances - Manifest error of assessment - Legal basis - Obligation to state reasons.
62010CJ0015,  Case C-15/10,EU:C:2011:504,Judgement,Toader,Bot,United Kingdom,United Kingdom-Fourth Chamber,Fourth Chamber,4,2010-01-11,2011-07-21,2011,7,2010.0,1.0,556 days 00:00:00.000000000,1,0,Judgment of the Court (Fourth Chamber) of 21 July 2011. , Etimine SA v Secretary of State for Work and Pensions. , Reference for a preliminary ruling: High Court of Justice (England &amp; Wales); Queen's Bench Division (Administrative Court) - United Kingdom. , Environment and protection of human health - Directive 67/548/EEC -Regulation (EC) No 1272/2008 - Borate substances - Classification as reprotoxic substances in category 2 - Directive 2008/58/EC and Regulation (EC) No 790/2009 - Adaptation of the classifications to technical and scientific progress - Validity - Methods of assessing the intrinsic properties of those substances - Manifest error of assessment - Legal basis - Obligation to state reasons - Principle of proportionality. 
62015CJ0339,Case C-339/15,EU:C:2017:335,Judgement,Bay Larsen,Bot,Belgium,Belgium-Third Chamber,Third Chamber,4,2015-07-07,2017-05-04,2017,5,2015.0,7.0,667 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber) of 4 May 2017.,Criminal proceedings against Luc Vanderborght.,Request for a preliminary ruling from the Nederlandstalige rechtbank van eerste aanleg Brussel.,Reference for a preliminary ruling — Article 56 TFEU — Freedom to provide services — Provision of oral and dental care — National legislation prohibiting; in absolute terms; advertising for oral and dental care services — Existence of a cross-border element — Protection of public health — Proportionality — Directive 2000/31/EC — Information society service — Advertising via an internet site — Member of a regulated profession — Professional rules — Directive 2005/29/EC — Unfair trading practices — National provisions relating to health — National provisions governing regulated professions.
62015CJ0536,Case C-536/15,EU:C:2017:214,Judgement,JaraÅ¡iÅ«nas,Bot,Netherlands,Netherlands-Second Chamber,Second Chamber,6,2015-10-13,2017-03-15,2017,3,2015.0,10.0,519 days 00:00:00.000000000,1,0,Judgment of the Court (Second Chamber) of 15 March 2017.,Tele2 (Netherlands) BV and Others v Autoriteit Consument en Markt (ACM).,Request for a preliminary ruling from the College van Beroep voor het Bedrijfsleven.,Reference for a preliminary ruling — Electronic communications networks and services — Directive 2002/22/EC — Article 25(2) — Directory enquiry services and directories — Directive 2002/58/EC — Article 12 — Directories of subscribers — Making available personal data concerning subscribers for the purposes of the provision of publicly available directory enquiry services and directories — Subscriber’s consent — Distinction on the basis of the Member State in which publicly available directory enquiry services and directories are provided — Principle of non-discrimination.
62014CJ0397,Case C-397/14,EU:C:2016:256,Judgement,JaraÅ¡iÅ«nas,Bot,Poland,Poland-Second Chamber,Second Chamber,5,2014-08-20,2016-04-14,2016,4,2014.0,8.0,603 days 00:00:00.000000000,1,0,Judgment of the Court (Second Chamber) of 14 April 2016.,Polkomtel sp. z o.o. v Prezes Urzędu Komunikacji Elektronicznej.,not_specified,Reference for a preliminary ruling — Electronic communications networks and services — Directive 2002/22/EC — Article 28 — Non-geographic numbers — Access by end-users residing in the Member State for operators to services using non-geographic numbers — Directive 2002/19/EC — Articles 5; 8 and 13 — Powers and responsibilities of the national regulatory authorities with regard to access and interconnection — Imposition; amendment or withdrawal of obligations — Imposition of obligations on undertakings that control access to end-users — Price control — Undertaking not having significant market power on the market — Directive 2002/21/EC — Resolution of disputes between undertakings — Decision of the national regulatory authority laying down the conditions of cooperation and the pricing procedures for services between undertakings.
62014CJ0085,Case C-85/14,EU:C:2015:610,Judgement,JaraÅ¡iÅ«nas,Bot,Netherlands,Netherlands-Third Chamber,Third Chamber,5,2014-02-18,2015-09-17,2015,9,2014.0,2.0,576 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber) of 17 September 2015.,KPN BV v Autoriteit Consument en Markt (ACM).,Request for a preliminary ruling from the College van Beroep voor het Bedrijfsleven.,Reference for a preliminary ruling — Electronic communications networks and services — Universal service and users’ rights — Directive 2002/22/EC — Article 28 — Access to numbers and to services — Non-geographic numbers — Directive 2002/19/EC — Articles 5; 8 and 13 — Powers of the national regulatory authorities — Price control — Call transit services — National legislation requiring providers of telephone call transit services not to charge higher tariffs for calls to non-geographic numbers than for calls to geographic numbers — Undertaking without significant market power — Relevant national authority.
62013CJ0222,Case Câ222/13,EU:C:2014:2265,Judgement,JaraÅ¡iÅ«nas,Bot,Denmark,Denmark-Third Chamber,Third Chamber,5,2013-04-25,2014-10-09,2014,10,2013.0,4.0,532 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber); 9 October 2014.,TDC A/S v Erhvervsstyrelsen.,Request for a preliminary ruling from the Teleklagenævnet.,Reference for a preliminary ruling — Electronic communications networks and services — Directive 2002/22/EC — Article 32 — Additional mandatory services — Compensation mechanism for the cost associated with providing those services — Meaning of ‘court or tribunal’ for the purposes of Article 267 TFEU — Lack of jurisdiction of the Court.
62009CJ0099,  Case C-99/09,EU:C:2010:395,Judgement,KÅ«ris,Bot,Poland,Poland-Fourth Chamber,Fourth Chamber,5,2009-03-11,2010-07-01,2010,7,2009.0,3.0,477 days 00:00:00.000000000,1,0,Judgment of the Court (Fourth Chamber) of 1 July 2010. , Polska Telefonia Cyfrowa sp. z o.o. v Prezes Urzędu Komunikacji Elektronicznej. , Reference for a preliminary ruling: Sąd Najwyższy - Poland. , Telecommunication services - Directive 2002/22/EC - Article 30(2) - Portability of telephone numbers - Power of the national regulatory authorities - Direct charge to the subscriber - Disincentive - Taking costs into consideration. 
62014CJ0611,Case C-611/14,EU:C:2016:800,Judgement,Borg Barthet,Bot,Denmark,Denmark-Fifth Chamber,Fifth Chamber,2,2014-12-23,2016-10-26,2016,10,2014.0,12.0,673 days 00:00:00.000000000,1,0,Judgment of the Court (Fifth Chamber) of 26 October 2016.,Criminal proceedings against Canal Digital Danmark A/S.,Request for a preliminary ruling from the Retten i Glostrup.,Reference for a preliminary ruling — Unfair commercial practices — Directive 2005/29/EC — Articles 6 and 7 — Advertising relating to a satellite TV subscription — Subscription price including; in addition to the monthly subscription charge; a six-monthly charge for the card required for decoding emissions — Six-monthly charge omitted or presented in a less conspicuous manner than the monthly charge — Misleading action — Misleading omission — Transposition of a provision of a directive only in the preparatory work for the national transposing legislation and not in the wording of that legislation itself.
62013CJ0503,Joined Cases C-503/13 and C-504/13,EU:C:2015:148,Judgement,Safjan,Bot,Germany,Germany-Fourth Chamber,Fourth Chamber,2,2013-09-19,2015-03-05,2015,3,2013.0,9.0,532 days 00:00:00.000000000,1,1,Judgment of the Court (Fourth Chamber) of 5 March 2015.,Boston Scientific Medizintechnik GmbH v AOK Sachsen-Anhalt – Die Gesundheitskasse and Betriebskrankenkasse RWE.,Requests for a preliminary ruling from the Bundesgerichtshof.,Reference for a preliminary ruling — Consumer protection — Liability for damage caused by defective products — Directive 85/374/EEC — Articles 1; 6(1) and section (a) of the first paragraph of Article 9 — Pacemakers and implantable cardioverter defibrillators — Risk of product failure — Personal injury — Removal of the allegedly defective product and replacement with another product — Reimbursement of the costs of the operation.
62012CJ0059,Case Câ59/12,EU:C:2013:634,Judgement,Kasel,Bot,Germany,Germany-First Chamber,First Chamber,2,2012-02-06,2013-10-03,2013,10,2012.0,2.0,605 days 00:00:00.000000000,1,0,Judgment of the Court (First Chamber); 3 October 2013.,BKK Mobil Oil Körperschaft des öffentlichen Rechts v Zentrale zur Bekämpfung unlauteren Wettbewerbs eV.,Request for a preliminary ruling from the Bundesgerichtshof.,Directive 2005/29/EC — Unfair commercial practices — Scope — Misleading information circulated by a health insurance fund which is part of the statutory social security system — Fund established as a public law body.
62012CJ0265,Case Câ265/12,EU:C:2013:498,Judgement,Borg Barthet,Bot,Belgium,Belgium-First Chamber,First Chamber,3,2012-05-29,2013-07-18,2013,7,2012.0,5.0,415 days 00:00:00.000000000,1,0,Judgment of the Court (First Chamber); 18 July 2013.,Citroën Belux NV v Federatie voor Verzekerings- en Financiële Tussenpersonen (FvF).,Request for a preliminary ruling from the Hof van beroep te Brussel.,Article 56 TFEU — Freedom to provide services — Directive 2005/29/EC — Unfair commercial practices — Consumer protection — Combined offers involving at least one financial service — Prohibition — Exceptions.
62009CJ0047,  Case C-47/09,EU:C:2010:714,Judgement,Berger,Bot,Italy,Italy-First Chamber,First Chamber,2,2009-01-30,2010-11-25,2010,11,2009.0,1.0,664 days 00:00:00.000000000,1,0,Judgment of the Court (First Chamber) of 25 November 2010. , European Commission v Italian Republic. ,not_specified, Approximation of laws - Cocoa and chocolate products - Labelling - Addition of the word ‘pure’ or the phrase ‘pure chocolate’ to the labelling of certain products. 
61980CJ0056,  Case 56/80,EU:C:1981:52,Judgement,O'Keeffe,Capotorti,Germany,Germany-not_specified,not_specified,2,1980-02-13,1981-02-25,1981,2,1980.0,2.0,378 days 00:00:00.000000000,1,0,Judgment of the Court of 25 February 1981. , Firma A. Weigand v Schutzverband Deutscher Wein e.V. , Reference for a preliminary ruling: Bundesgerichtshof - Germany. , Description and presentation of wines. 
61980CJ0130,  Case 130/80,EU:C:1981:49,Judgement,Touffait,Capotorti,Netherlands,Netherlands-Second Chamber,Second Chamber,3,1980-05-29,1981-02-19,1981,2,1980.0,5.0,266 days 00:00:00.000000000,1,0,Judgment of the Court (Second Chamber) of 19 February 1981. , Criminal proceedings against Fabriek voor Hoogwaardige Voedingsprodukten Kelderman BV. , Reference for a preliminary ruling: Arrondissementsrechtbank Amsterdam - Netherlands. , Measure having equivalent effect. 
61980CJ0113,  Case 113/80,EU:C:1981:139,Judgement,Touffait,Capotorti,Ireland,Ireland-not_specified,not_specified,2,1980-04-28,1981-06-17,1981,6,1980.0,4.0,415 days 00:00:00.000000000,1,0,Judgment of the Court of 17 June 1981. , Commission of the European Communities v Ireland. ,not_specified, Failure to fulfil an obligation - Measures heaving an effect equivalent to quantitative restrictions. 
61994CJ0085,  Case C-85/94,EU:C:1995:312,Judgement,Edward,Cosmas,Belgium,Belgium-Fifth Chamber,Fifth Chamber,4,1994-03-09,1995-10-12,1995,10,1994.0,3.0,582 days 00:00:00.000000000,1,0,Judgment of the Court (Fifth Chamber) of 12 October 1995. , Groupement des Producteurs; Importateurs et Agents Généraux d'Eaux Minérales Etrangères; VZW (Piageme) and others v Peeters NV. , Reference for a preliminary ruling: Hof van Beroep Brussel - Belgium. , Consumer protection - Labelling of mineral waters - Language. 
61996CJ0385,  Case C-385/96,EU:C:1998:356,Judgement,Edward,Cosmas,Germany,Germany-Fifth Chamber,Fifth Chamber,2,1996-11-28,1998-07-14,1998,7,1996.0,11.0,593 days 00:00:00.000000000,1,0,Judgment of the Court (Fifth Chamber) of 14 July 1998. , Criminal proceedings against Hermann Josef Goerres. , Reference for a preliminary ruling: Amtsgericht Aachen - Germany. , Approximation of laws - Labelling and presentation of foodstuffs - Directive 79/112/EEC - Consumer protection - Language. 
62010CJ0070,  Case C-70/10,EU:C:2011:771,Judgement,MalenovskÃ½,Cruz VillalÃ³n,Belgium,Belgium-Third Chamber,Third Chamber,6,2010-02-05,2011-11-24,2011,11,2010.0,2.0,657 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber) of 24 November 2011.,Scarlet Extended SA v Société belge des auteurs; compositeurs et éditeurs SCRL (SABAM).,Reference for a preliminary ruling: Cour d'appel de Bruxelles - Belgium.,Information society - Copyright - Internet - ‘Peer-to-peer’ software - Internet service providers - Installation of a system for filtering electronic communications in order to prevent file sharing which infringes copyright - No general obligation to monitor information transmitted.
62010CJ0292,Case C-292/10,EU:C:2012:142,Judgement,Safjan,Cruz VillalÃ³n,Germany,Germany-First Chamber,First Chamber,6,2010-06-11,2012-03-15,2012,3,2010.0,6.0,643 days 00:00:00.000000000,1,0,Judgment of the Court (First Chamber); 15 March 2012.,G v Cornelius de Visser.,Reference for a preliminary ruling from the Landgericht Regensburg.,Jurisdiction and the enforcement of judgments in civil and commercial matters — Public notification of legal documents — Lack of known domicile or place of abode of the defendant in the territory of a Member State — Jurisdiction ‘in matters relating to tort; delict or quasi-delict’ — Infringement of the right to protection of personality liable to have been committed by the publication of photographs on the Internet — Place where the harmful event occurred or may occur.
62014CJ0326,Case C-326/14,EU:C:2015:782,Judgement,Safjan,Cruz VillalÃ³n,Austria,Austria-Fourth Chamber,Fourth Chamber,5,2014-07-07,2015-11-26,2015,11,2014.0,7.0,507 days 00:00:00.000000000,1,0,Judgment of the Court (Fourth Chamber) of 26 November 2015.,Verein für Konsumenteninformation v A1 Telekom Austria AG.,Request for a preliminary ruling from the Oberster Gerichtshof.,Reference for a preliminary ruling — Directive 2002/22/EC — Electronic communications networks and services — Users’ rights — Right of subscribers to terminate their contract without penalty — Changes to charges under terms of the contract — Increase in charges in line with increase in the consumer price index.
62010CJ0360,  Case C-360/10,EU:C:2012:85,Judgement,MalenovskÃ½,Cruz VillalÃ³n,Belgium,Belgium-Third Chamber,Third Chamber,5,2010-07-19,2012-02-16,2012,2,2010.0,7.0,577 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber) of 16 February 2012. , Belgische Vereniging van Auteurs; Componisten en Uitgevers CVBA (SABAM) v Netlog NV. , Reference for a preliminary ruling: Rechtbank van eerste aanleg te Brussel - Belgium. , Information society - Copyright - Internet - Hosting service provider - Processing of information stored on an online social networking platform - Introducing a system for filtering that information in order to prevent files being made available which infringe copyright - No general obligation to monitor stored information. 
62010CJ0134,Case C-134/10,EU:C:2011:117,Judgement,Arestis,Cruz VillalÃ³n,Belgium,Belgium-Third Chamber,Third Chamber,5,2010-03-15,2011-03-03,2011,3,2010.0,3.0,353 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber) of 3 March 2011.,European Commission v Kingdom of Belgium.,not_specified,Failure of a Member State to fulfil obligations - Directive 2002/22/EC - Article 31 - Criteria for awarding ‘must-carry’ status - General interest objectives permitting the award of that status - Impact of the number of end-users of communications networks on the award of that status - Principle of proportionality.
62008CJ0389,  Case C-389/08,EU:C:2010:584,Judgement,Bonichot,Cruz VillalÃ³n,Belgium,Belgium-Fourth Chamber,Fourth Chamber,5,2008-09-08,2010-10-06,2010,10,2008.0,9.0,758 days 00:00:00.000000000,1,0,Judgment of the Court (Fourth Chamber) of 6 October 2010. , Base NV and Others v Ministerraad. , Reference for a preliminary ruling: Grondwettelijk Hof - Belgium. , Electronic communications - Directive 2002/21/EC (‘Framework’ Directive) - Articles 2(g); 3 and 4 - National regulatory authority - National legislature acting as national regulatory authority - Directive 2002/22/EC (‘Universal Service’ Directive) - Networks and services - Article 12 - Costing of universal service obligations - Social component of universal service - Article 13 - Financing of universal service obligations - Determination of whether an ‘unfair burden’ exists. 
62009CJ0154,  Case C-154/09,EU:C:2010:591,Judgement,Arestis,Cruz VillalÃ³n,Portugal,Portugal-Third Chamber,Third Chamber,5,2009-05-04,2010-10-07,2010,10,2009.0,5.0,521 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber) of 7 October 2010. , European Commission v Portuguese Republic. ,not_specified, Failure of a Member State to fulfil obligations - Directive 2002/22/EC - Electronic communications - Networks and services - Articles 3(2) and 8(2) - Designation of undertakings responsible for universal service obligations - Incorrect transposition. 
62008CJ0222,  Case C-222/08,EU:C:2010:583,Judgement,Bonichot,Cruz VillalÃ³n,Belgium,Belgium-Fourth Chamber,Fourth Chamber,5,2008-05-22,2010-10-06,2010,10,2008.0,5.0,867 days 00:00:00.000000000,1,0,Judgment of the Court (Fourth Chamber) of 6 October 2010. , European Commission v Kingdom of Belgium. ,not_specified, Failure of a Member State to fulfil obligations - Directive 2002/22/EC (‘Universal Service’ Directive) - Electronic communications - Networks and services - Article 12 - Costing of universal service obligations - Social component of universal service - Article 13 - Financing of universal service obligations - Determination of whether an ‘unfair burden’ exists. 
62014CJ0032,Case C-32/14,EU:C:2015:637,Judgement,Toader,Cruz VillalÃ³n,Hungary,Hungary-Third Chamber,Third Chamber,2,2014-01-23,2015-10-01,2015,10,2014.0,1.0,616 days 00:00:00.000000000,1,0,Judgment of the Court (Third Chamber) of 1 October 2015.,ERSTE Bank Hungary Zrt v Attila Sugár.,Request for a preliminary ruling from the Fővárosi Törvényszék.,Reference for a preliminary ruling — Directive 93/13/EEC — Unfair terms in consumer contracts concluded between a seller or supplier and a consumer — Mortgage loan agreement — Article 7(1) — Stopping the use of unfair terms — Adequate and effective means — Acknowledgement of the debt — Notarised instrument — Affixation of the enforcement clause by a notary — Enforceable order — Notary’s obligations — Examination by the national court of its own motion of unfair terms — Judicial review — Principles of equivalence and effectiveness.
62014CJ0110,Case C-110/14,EU:C:2015:538,Judgement,Safjan,Cruz VillalÃ³n,Romania,Romania-Fourth Chamber,Fourth Chamber,2,2014-03-07,2015-09-03,2015,9,2014.0,3.0,545 days 00:00:00.000000000,1,0,Judgment of the Court (Fourth Chamber) of 3 September 2015.,Horațiu Ovidiu Costea v SC Volksbank România SA.,Request for a preliminary ruling from the Judecătoria Oradea.,Reference for a preliminary ruling — Directive 93/13/EEC — Article 2(b) — Concept of ‘consumer’ — Credit agreement concluded by a natural person who practises as a lawyer — Repayment of a loan secured on a building owned by the borrower’s law firm — Borrower who has the necessary knowledge to assess the unfairness of a term before signing the agreement.
